"","voted2004","voted2008","Kerryvoter","Obamavoter","white","black","pres.approval","partyid","economy"
"560",0,0,0,0,1,0,1,-1,-1
"561",0,1,0,1,0,1,0.5,0,-0.5
"562",0,0,0,0,0,1,0,0,-0.5
"563",1,0,1,0,0,1,-1,0,-1
"564",1,1,0,0,1,0,1,-1,-0.5
"565",1,1,0,0,1,0,1,-1,0
"566",1,1,1,1,0,1,-1,1,-1
"567",1,0,0,0,1,0,1,-1,0
"568",0,0,0,0,1,0,-0.5,1,-0.5
"569",0,0,0,0,1,0,0,0,-1
"570",1,1,0,0,1,0,0.5,-1,-0.5
"571",1,1,1,1,0,1,-1,0,-1
"572",0,1,0,0,1,0,0.5,-1,-0.5
"573",1,1,1,1,0,0,-1,0,-1
"574",1,1,1,1,0,0,-1,1,-1
"575",0,0,0,0,0,0,-1,-1,-0.5
"576",1,1,1,1,1,0,-1,1,-1
"577",1,1,1,1,1,0,-1,1,-0.5
"578",1,1,0,0,1,0,-0.5,0,-1
"579",0,0,0,0,1,0,-1,1,-1
"580",0,0,0,0,0,1,-1,1,-1
"581",1,1,0,0,1,0,0.5,0,-1
"582",0,1,0,1,1,0,-0.5,0,-1
"583",1,1,1,1,0,1,-1,1,-0.5
"584",0,1,0,1,0,1,-1,1,-1
